x,y,z
-0.027729005813598634,-0.05943478775024414,-0.0560756721496582
-0.027815473556518554,-0.059463661193847654,-0.0561628303527832
-0.027737401962280275,-0.059430950164794924,-0.0560692024230957
-0.027815473556518554,-0.059463661193847654,-0.0561628303527832
-0.027823293685913086,-0.059459346771240235,-0.056155948638916015
-0.027737401962280275,-0.059430950164794924,-0.0560692024230957
-0.029394653320312502,-0.058988758087158207,-0.05616555023193359
-0.02944552993774414,-0.05894070816040039,-0.05606812286376953
-0.029434961318969728,-0.0589399528503418,-0.05606427001953125
-0.029394653320312502,-0.058988758087158207,-0.05616555023193359
-0.029434961318969728,-0.0589399528503418,-0.05606427001953125
-0.029384943008422853,-0.058987369537353514,-0.05615999221801758
-0.027719369888305666,-0.058978706359863284,-0.05510776901245117
-0.02764581298828125,-0.05903215408325196,-0.055181190490722655
-0.02765410041809082,-0.059030620574951176,-0.055188678741455076
-0.027719369888305666,-0.058978706359863284,-0.05510776901245117
-0.02765410041809082,-0.059030620574951176,-0.055188678741455076
-0.02772590446472168,-0.05897697448730469,-0.055116790771484375
-0.02758551025390625,-0.059088657379150394,-0.055265380859375005
-0.027538244247436523,-0.05914590072631836,-0.0553562126159668
-0.027594778060913087,-0.059087017059326175,-0.05527158737182617
-0.027538244247436523,-0.05914590072631836,-0.0553562126159668
-0.02754849433898926,-0.059144287109375,-0.05536061859130859
-0.027594778060913087,-0.059087017059326175,-0.05527158737182617
-0.02764581298828125,-0.05903215408325196,-0.055181190490722655
-0.02758551025390625,-0.059088657379150394,-0.055265380859375005
-0.02765410041809082,-0.059030620574951176,-0.055188678741455076
-0.02758551025390625,-0.059088657379150394,-0.055265380859375005
-0.027594778060913087,-0.059087017059326175,-0.05527158737182617
-0.02765410041809082,-0.059030620574951176,-0.055188678741455076
-0.029156320571899416,-0.059144992828369145,-0.056390029907226566
-0.029246149063110353,-0.05908983612060547,-0.056326515197753904
-0.029238481521606446,-0.059087322235107424,-0.05631864166259766
-0.029156320571899416,-0.059144992828369145,-0.056390029907226566
-0.029238481521606446,-0.059087322235107424,-0.05631864166259766
-0.029149293899536133,-0.05914201354980469,-0.05638173294067383
-0.02791470527648926,-0.05888481903076172,-0.05500470352172852
-0.0278122615814209,-0.05893096923828125,-0.05504936218261719
-0.027917650222778322,-0.05888190460205078,-0.05501519012451172
-0.0278122615814209,-0.05893096923828125,-0.05504936218261719
-0.027816789627075195,-0.05892849349975586,-0.05505938339233399
-0.027917650222778322,-0.05888190460205078,-0.05501519012451172
-0.02838564109802246,-0.05876298904418945,-0.05497209548950195
-0.028259950637817385,-0.058778877258300784,-0.05496082305908203
-0.028383655548095705,-0.05875957489013672,-0.0549826545715332
-0.028259950637817385,-0.058778877258300784,-0.05496082305908203
-0.028259111404418946,-0.05877555847167969,-0.05497156524658203
-0.028383655548095705,-0.05875957489013672,-0.0549826545715332
-0.028138500213623047,-0.058804576873779296,-0.05496233367919922
