"RegionId","Points:0","Points:1","Points:2"
0,1.2028,0.9484,-2.0606
0,1.2028,0.95711,-2.0567
0,1.2028,0.94343,-2.0623
0,1.2028,1.1873,-1.955
0,1.2028,0.92152,-2.0702
0,1.2028,1.3165,-1.8861
0,1.2028,0.69989,-2.1704
0,1.2028,1.411,-1.8084
0,1.2028,0.64524,-2.1958
0,1.2028,1.5312,-1.7266
0,1.2028,0.50141,-2.2415
0,1.2028,1.6118,-1.6527
0,1.2028,0.465,-2.2544
0,1.2028,1.711,-1.573
0,1.2028,0.26737,-2.3182
0,1.2028,1.7778,-1.5143
0,1.2028,0.25447,-2.3187
0,1.2028,1.9152,-1.3902
0,1.2028,0.043334,-2.3528
0,1.2028,1.9609,-1.3399
0,1.2028,-0.17218,-2.3296
0,1.2028,2.0654,-1.2335
0,1.2028,-0.20966,-2.3251
0,1.2028,2.1543,-1.1205
0,1.2028,-0.45865,-2.2407
0,1.2028,2.1947,-1.0694
0,1.2028,-0.51612,-2.2093
0,1.2028,2.2113,-1.0446
0,1.2028,-0.67753,-2.1125
0,1.2028,2.271,-0.94647
0,1.2028,-0.76559,-2.0597
0,1.2028,2.3539,-0.81056
0,1.2028,-0.8857,-1.9683
0,1.2028,2.3816,-0.74702
0,1.2028,-1.001,-1.8784
0,1.2028,2.4493,-0.57386
0,1.2028,-1.076,-1.8096
0,1.2028,2.4966,-0.32284
0,1.2028,-1.2252,-1.665
0,1.2028,2.4968,-0.32183
0,1.2028,-1.2367,-1.6523
0,1.2028,2.4967,-0.32059
0,1.2028,-1.2508,-1.6342
0,1.2028,2.4856,-0.054615
0,1.2028,-1.3856,-1.4848
0,1.2028,2.4607,0.091467
0,1.2028,-1.5332,-1.2809
0,1.2028,2.432,0.18935
0,1.2028,-1.5376,-1.2756
0,1.2028,2.3782,0.33325
0,1.2028,-1.5434,-1.2666
0,1.2028,2.3084,0.47352
0,1.2028,-1.6745,-1.0575
0,1.2028,2.2487,0.59868
0,1.2028,-1.7357,-0.93719
0,1.2028,2.1403,0.78043
0,1.2028,-1.7712,-0.87497
0,1.2028,2.0877,0.88758
0,1.2028,-1.7987,-0.81483
0,1.2028,1.959,1.1063
0,1.2028,-1.8365,-0.71623
0,1.2028,1.9489,1.1285
0,1.2028,-1.8724,-0.6064
0,1.2028,1.829,1.3583
0,1.2028,-1.8988,-0.48522
0,1.2028,1.8279,1.361
0,1.2028,-1.9273,-0.36276
0,1.2028,1.7123,1.5928
0,1.2028,-1.9475,-0.13781
0,1.2028,1.706,1.6078
0,1.2028,-1.9532,-0.092392
0,1.2028,1.5794,1.8186
0,1.2028,-1.9497,-0.0029702
0,1.2028,1.5633,1.8482
0,1.2028,-1.947,0.19924
0,1.2028,1.412,2.0321
0,1.2028,-1.9342,0.29238
0,1.2028,1.3734,2.0824
0,1.2028,-1.9021,0.48903
0,1.2028,1.1541,2.2531
0,1.2028,-1.8666,0.6316
0,1.2028,1.1245,2.2821
0,1.2028,-1.8401,0.7294
0,1.2028,1.0817,2.3082
0,1.2028,-1.7617,0.93815
0,1.2028,0.83778,2.4178
0,1.2028,-1.7555,0.95714
0,1.2028,0.75377,2.4505
0,1.2028,-1.7523,0.96515
0,1.2028,0.54251,2.4928
0,1.2028,-1.6497,1.1819
0,1.2028,0.43777,2.5025
0,1.2028,-1.5784,1.2977
0,1.2028,0.25282,2.5093
0,1.2028,-1.4945,1.42
0,1.2028,0.14537,2.4888
0,1.2028,-1.3708,1.5364
0,1.2028,0.0033084,2.4575
0,1.2028,-1.3032,1.6191
0,1.2028,-0.067573,2.4406
0,1.2028,-1.1894,1.712
0,1.2028,-0.15666,2.3957
0,1.2028,-1.1165,1.7753
0,1.2028,-0.29887,2.3473
0,1.2028,-1.0581,1.8137
0,1.2028,-0.47453,2.2422
0,1.2028,-0.93447,1.9186
0,1.2028,-0.55177,2.1987
0,1.2028,-0.77934,2.0228
0,1.2028,-0.58056,2.1725
0,1.2028,-0.77489,2.0268
